,1,2,3,4,5,6
2026-11-19,80,80,80,80,80,80
2026-11-20,80,80,80,80,80,80
2026-11-21,80,80,80,80,80,80
2026-11-22,85,85,85,85,85,85
2026-11-23,90,90,90,90,90,90
2026-11-24,105,105,105,105,105,105
2026-11-25,85,85,85,85,85,85
2026-11-26,85,85,85,85,85,85
2026-11-27,80,80,80,80,80,80
2026-11-28,85,85,85,85,85,85
2026-11-29,85,85,85,85,85,85
2026-11-30,90,90,90,90,90,90
2026-12-01,100,100,100,100,100,100
2026-12-02,85,85,85,85,85,85
2026-12-03,80,80,80,80,80,80
2026-12-04,80,80,80,80,80,80
2026-12-05,80,80,80,80,80,80
2026-12-06,80,80,80,80,80,80
2026-12-07,90,90,90,90,90,90
2026-12-08,100,100,100,100,100,100
2026-12-09,90,90,90,90,90,90
2026-12-10,95,95,95,95,95,95
2026-12-11,90,90,90,90,90,90
2026-12-12,100,100,100,100,100,100
2026-12-13,105,105,105,105,105,105
2026-12-14,105,105,105,105,105,105
2026-12-15,100,100,100,100,100,100
2026-12-16,100,100,100,100,100,100
2026-12-17,125,125,125,125,125,125
2026-12-18,125,125,125,125,125,125
2026-12-19,125,125,125,125,125,125
2026-12-20,125,125,125,125,125,125
2026-12-21,125,125,125,125,125,125
2026-12-22,125,125,125,125,125,125
2026-12-23,90,90,90,90,90,90
2026-12-24,80,80,80,80,80,80
2026-12-25,80,80,80,80,80,80
2026-12-26,75,75,75,75,75,75
2026-12-27,70,70,70,70,70,70
2026-12-28,75,75,75,75,75,75
2026-12-29,75,75,75,75,75,75
2026-12-30,70,70,70,70,70,70
2026-12-31,75,75,75,75,75,75
2027-01-01,70,70,70,70,70,70
2027-01-02,70,70,70,70,70,70
2027-01-03,70,70,70,70,70,70
2027-01-04,75,75,75,75,75,75
2027-01-05,70,70,70,70,70,70
2027-01-06,70,70,70,70,70,70
2027-01-07,70,70,70,70,70,70
2027-01-08,70,70,70,70,70,70
2027-01-09,70,70,70,70,70,70
2027-01-10,70,70,70,70,70,70
2027-01-11,80,80,80,80,80,80
2027-01-12,75,75,75,75,75,75
2027-01-13,65,65,65,65,65,65
2027-01-14,70,70,70,70,70,70
2027-01-15,70,70,70,70,70,70
2027-01-16,65,65,65,65,65,65
2027-01-17,65,65,65,65,65,65
2027-01-18,80,80,80,80,80,80
2027-01-19,80,80,80,80,80,80
2027-01-20,70,70,70,70,70,70
2027-01-21,70,70,70,70,70,70
2027-01-22,70,70,70,70,70,70
2027-01-23,70,70,70,70,70,70
2027-01-24,70,70,70,70,70,70
2027-01-25,80,80,80,80,80,80
2027-01-26,80,80,80,80,80,80
2027-01-27,75,75,75,75,75,75
2027-01-28,75,75,75,75,75,75
2027-01-29,70,70,70,70,70,70
2027-01-30,65,65,65,65,65,65
2027-01-31,70,70,70,70,70,70
2027-02-01,85,85,85,85,85,85
2027-02-02,85,85,85,85,85,85
2027-02-03,75,75,75,75,75,75
2027-02-04,75,75,75,75,75,75
2027-02-05,75,75,75,75,75,75
2027-02-06,70,70,70,70,70,70
2027-02-07,70,70,70,70,70,70
2027-02-08,80,80,80,80,80,80
2027-02-09,75,75,75,75,75,75
2027-02-10,65,65,65,65,65,65
2027-02-11,65,65,65,65,65,65
2027-02-12,65,65,65,65,65,65
2027-02-13,70,70,70,70,70,70
2027-02-14,70,70,70,70,70,70
2027-02-15,75,75,75,75,75,75
2027-02-16,75,75,75,75,75,75
2027-02-17,65,65,65,65,65,65
2027-02-18,70,70,70,70,70,70
2027-02-19,70,70,70,70,70,70
2027-02-20,70,70,70,70,70,70
2027-02-21,70,70,70,70,70,70
2027-02-22,80,80,80,80,80,80
2027-02-23,80,80,80,80,80,80
2027-02-24,70,70,70,70,70,70
2027-02-25,65,65,65,65,65,65
2027-02-26,70,70,70,70,70,70
2027-02-27,65,65,65,65,65,65
2027-02-28,70,70,70,70,70,70
2027-03-01,80,80,80,80,80,80
2027-03-02,80,80,80,80,80,80
2027-03-03,75,75,75,75,75,75
2027-03-04,65,65,65,65,65,65
2027-03-05,70,70,70,70,70,70
2027-03-06,65,65,65,65,65,65
2027-03-07,75,75,75,75,75,75
2027-03-08,75,75,75,75,75,75
2027-03-09,80,80,80,80,80,80
2027-03-10,65,65,65,65,65,65
2027-03-11,70,70,70,70,70,70
2027-03-12,65,65,65,65,65,65
2027-03-13,70,70,70,70,70,70
2027-03-14,85,85,85,85,85,85
2027-03-15,85,85,85,85,85,85
2027-03-16,85,85,85,85,85,85
2027-03-17,85,85,85,85,85,85
2027-03-18,70,70,70,70,70,70
2027-03-19,70,70,70,70,70,70
2027-03-20,70,70,70,70,70,70
2027-03-21,75,75,75,75,75,75
2027-03-22,80,80,80,80,80,80
2027-03-23,80,80,80,80,80,80
2027-03-24,75,75,75,75,75,75
2027-03-25,75,75,75,75,75,75
2027-03-26,75,75,75,75,75,75
2027-03-27,75,75,75,75,75,75
2027-03-28,80,80,80,80,80,80
2027-03-29,85,85,85,85,85,85
2027-03-30,80,80,80,80,80,80
2027-03-31,75,75,75,75,75,75
2027-04-01,75,75,75,75,75,75
2027-04-02,80,80,80,80,80,80
2027-04-03,80,80,80,80,80,80
2027-04-04,85,85,85,85,85,85
2027-04-05,85,85,85,85,85,85
2027-04-06,85,85,85,85,85,85
2027-04-07,80,80,80,80,80,80
2027-04-08,80,80,80,80,80,80
2027-04-09,80,80,80,80,80,80
2027-04-10,85,85,85,85,85,85
2027-04-11,85,85,85,85,85,85
2027-04-12,110,110,110,110,110,110
2027-04-13,110,110,110,110,110,110
2027-04-14,110,110,110,110,110,110
2027-04-15,80,80,80,80,80,80
2027-04-16,80,80,80,80,80,80
2027-04-17,80,80,80,80,80,80
2027-04-18,90,90,90,90,90,90
2027-04-19,100,100,100,100,100,100
2027-04-20,100,100,100,100,100,100
2027-04-21,100,100,100,100,100,100
2027-04-22,85,85,85,85,85,85
2027-04-23,80,80,80,80,80,80
2027-04-24,85,85,85,85,85,85
2027-04-25,85,85,85,85,85,85
2027-04-26,95,95,95,95,95,95
2027-04-27,95,95,95,95,95,95
2027-04-28,80,80,80,80,80,80
2027-04-29,80,80,80,80,80,80
2027-04-30,85,85,85,85,85,85
2027-05-01,85,85,85,85,85,85
2027-05-02,85,85,85,85,85,85
2027-05-03,90,90,90,90,90,90
2027-05-04,95,95,95,95,95,95
2027-05-05,80,80,80,80,80,80
2027-05-06,80,80,80,80,80,80
2027-05-07,80,80,80,80,80,80
2027-05-08,85,85,85,85,85,85
2027-05-09,0,0,0,0,0,0
2027-05-10,0,0,0,0,0,0
2027-05-11,0,0,0,0,0,0
2027-05-12,0,0,0,0,0,0
2027-05-13,0,0,0,0,0,0
2027-05-14,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
,#REF!,#REF!,#REF!,#REF!,,
