plan,switches,total_price,full_price,preferred_nights,segment_detail,label,equivalent_alternatives,warning
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 26),5,2499.25,3725.0,23,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 3: 11 nights × avg £91.82, 35% off = £656.50",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 8) → Room 11 (Jul 8–Jul 16) → Room 3 (Jul 16–Jul 26),5,2526.9,3765.0,24,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 5 nights × avg £123.00, 32% off = £418.20 | Room 11: 8 nights × avg £96.25, 35% off = £500.50 | Room 3: 10 nights × avg £92.00, 35% off = £598.00",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 26),5,2533.4,3775.0,25,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 5 nights × avg £123.00, 32% off = £418.20 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 3: 11 nights × avg £91.82, 35% off = £656.50",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 8) → Room 11 (Jul 8–Jul 14) → Room 3 (Jul 14–Jul 26),5,2561.6,3790.0,26,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 5 nights × avg £123.00, 32% off = £418.20 | Room 11: 6 nights × avg £102.50, 32% off = £418.20 | Room 3: 12 nights × avg £91.67, 35% off = £715.00",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 11) → Room 3 (Jul 11–Jul 26),5,2568.4,3785.0,27,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 3 nights × avg £111.67, 26% off = £247.90 | Room 3: 15 nights × avg £95.00, 35% off = £926.25",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 26),5,2593.5,3870.0,30,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 8: 7 nights × avg £119.29, 35% off = £542.75 | Room 3: 11 nights × avg £91.82, 35% off = £656.50",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 8) → Room 8 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 26),5,2627.65,3920.0,32,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 5 nights × avg £123.00, 32% off = £418.20 | Room 8: 7 nights × avg £119.29, 35% off = £542.75 | Room 3: 11 nights × avg £91.82, 35% off = £656.50",,,UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 7) → Room 8 (Jul 7–Jul 14) → Room 3 (Jul 14–Jul 26),5,2670.0,3945.0,33,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 4 nights × avg £123.75, 26% off = £366.30 | Room 8: 7 nights × avg £127.14, 35% off = £578.50 | Room 3: 12 nights × avg £91.67, 35% off = £715.00",,Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 7) → Room 8 (Jul 7–Jul 15) → Room 3 (Jul 15–Jul 26),UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Jul 26),5,2671.75,3965.0,34,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 5 nights × avg £146.00, 32% off = £496.40 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 13 nights × avg £91.54, 35% off = £773.50",,Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Jul 26); Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 3) → Room 6 (Jul 3–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Jul 26),UNALLOCATED bookings overlap this range (8)
Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 6 (Jul 15–Jul 23) → Room 3 (Jul 23–Jul 26),6,2459.0,3625.0,15,"Room 3: 6 nights × avg £73.33, 32% off = £299.20 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 6: 7 nights × avg £123.57, 35% off = £562.25 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 6: 8 nights × avg £79.38, 35% off = £412.75 | Room 3: 3 nights × avg £91.67, 26% off = £203.50",,Room 3 (Jun 19–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 11 (Jul 8–Jul 16) → Room 10 (Jul 16–Jul 23) → Room 3 (Jul 23–Jul 26),UNALLOCATED bookings overlap this range (8)
