plan,switches,total_price,full_price,nights_private_bathroom,nights_private_bath_and_kitchen,segment_detail,label,equivalent_alternatives,warning
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 4) → Room 9 (Aug 4–Aug 12),5,4077.6,6150.0,56,16,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 29 nights × avg £105.69, 35% off = £1992.25 | Room 9: 8 nights × avg £117.50, 35% off = £611.00",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 3) → Room 9 (Aug 3–Aug 12),5,4084.1,6160.0,56,17,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 28 nights × avg £106.07, 35% off = £1930.50 | Room 9: 9 nights × avg £116.11, 35% off = £679.25",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 2) → Room 9 (Aug 2–Aug 12),5,4090.6,6170.0,56,18,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 27 nights × avg £106.48, 35% off = £1868.75 | Room 9: 10 nights × avg £115.00, 35% off = £747.50",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 1) → Room 9 (Aug 1–Aug 12),5,4100.35,6185.0,56,19,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 26 nights × avg £106.35, 35% off = £1797.25 | Room 9: 11 nights × avg £115.91, 35% off = £828.75",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 31) → Room 9 (Jul 31–Aug 12),5,4110.1,6200.0,56,20,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 25 nights × avg £106.40, 35% off = £1729.00 | Room 9: 12 nights × avg £116.25, 35% off = £906.75",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 30) → Room 9 (Jul 30–Aug 12),5,4119.85,6215.0,56,21,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 24 nights × avg £106.88, 35% off = £1667.25 | Room 9: 13 nights × avg £115.77, 35% off = £978.25",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 29) → Room 9 (Jul 29–Aug 12),5,4129.6,6230.0,56,22,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 23 nights × avg £107.17, 35% off = £1602.25 | Room 9: 14 nights × avg £115.71, 35% off = £1053.00",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 28) → Room 9 (Jul 28–Aug 12),5,4139.35,6245.0,56,23,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 22 nights × avg £107.50, 35% off = £1537.25 | Room 9: 15 nights × avg £115.67, 35% off = £1127.75",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 27) → Room 9 (Jul 27–Aug 12),5,4149.1,6260.0,56,24,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 21 nights × avg £108.33, 35% off = £1478.75 | Room 9: 16 nights × avg £115.00, 35% off = £1196.00",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 26) → Room 9 (Jul 26–Aug 12),5,4158.85,6275.0,56,25,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 20 nights × avg £109.00, 35% off = £1417.00 | Room 9: 17 nights × avg £114.71, 35% off = £1267.50",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 8 (Jun 29–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 26) → Room 9 (Jul 26–Aug 12),5,4178.15,6295.0,56,26,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 8: 2 nights × avg £150.00, 20% off = £240.00 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 20 nights × avg £109.00, 35% off = £1417.00 | Room 9: 17 nights × avg £114.71, 35% off = £1267.50",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),6,3862.7,5770.0,56,0,"Room 8: 1 night × avg £75.00, 0% off = £75.00 | Room 3: 7 nights × avg £72.14, 35% off = £328.25 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),6,3872.7,5780.0,56,1,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 7 nights × avg £72.14, 35% off = £328.25 | Room 2: 3 nights × avg £96.67, 26% off = £214.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 2 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),6,3897.35,5815.0,56,2,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 7 nights × avg £75.71, 35% off = £344.50 | Room 9: 2 nights × avg £120.00, 20% off = £192.00 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 9 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),6,3903.4,5825.0,56,3,"Room 8: 1 night × avg £75.00, 0% off = £75.00 | Room 3: 7 nights × avg £72.14, 35% off = £328.25 | Room 9: 3 nights × avg £115.00, 26% off = £255.30 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 9 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 9 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 9 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),6,3913.4,5835.0,56,4,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 7 nights × avg £72.14, 35% off = £328.25 | Room 9: 3 nights × avg £115.00, 26% off = £255.30 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 9 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 25) → Room 9 (Jun 25–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 23) → Room 9 (Jun 23–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),6,3918.25,5855.0,56,5,"Room 8: 1 night × avg £75.00, 0% off = £75.00 | Room 3: 5 nights × avg £72.00, 32% off = £244.80 | Room 9: 5 nights × avg £104.00, 32% off = £353.60 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 23) → Room 9 (Jun 23–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 8 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 23) → Room 9 (Jun 23–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 8 (Jun 29–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),6,3971.4,5930.0,56,10,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 2 nights × avg £70.00, 20% off = £112.00 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 8: 2 nights × avg £150.00, 20% off = £240.00 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 8 (Jun 29–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 8 (Jun 29–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 9) → Room 9 (Aug 9–Aug 12),6,3987.95,5965.0,56,11,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 27 nights × avg £93.89, 35% off = £1647.75 | Room 9: 3 nights × avg £113.33, 26% off = £251.60",most private bathroom nights,Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 9) → Room 9 (Aug 9–Aug 12); Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 9) → Room 9 (Aug 9–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 18) → Room 9 (Jul 18–Jul 23) → Room 3 (Jul 23–Aug 12),6,3999.55,6005.0,56,13,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 12 nights × avg £117.92, 35% off = £919.75 | Room 9: 5 nights × avg £108.00, 32% off = £367.20 | Room 3: 20 nights × avg £95.25, 35% off = £1238.25",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 5) → Room 9 (Aug 5–Aug 12),6,4009.35,6045.0,56,15,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 23 nights × avg £92.61, 35% off = £1384.50 | Room 9: 7 nights × avg £117.86, 35% off = £536.25",most private bathroom nights,Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 5) → Room 9 (Aug 5–Aug 12); Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 5) → Room 9 (Aug 5–Aug 12),UNALLOCATED bookings overlap this range (9)
